wf,cost,variant_index,trades,pf,avg_r,winrate,return_r,max_dd_r,expectancy,median_r,median_mfe_r,median_mae_r,mfe_ge_1r,mfe_ge_2r
1,normal,120,12,1.404302376336651,0.2382940986616538,0.4166666666666667,2.8595291839398467,-3.0311934197841253,0.2382940986616538,-1.0070639273408957,1.2734558506700755,1.0432948448584538,0.6666666666666666,0.4166666666666667
1,stress_1.5x,120,12,1.3925780499769649,0.2325543122475001,0.4166666666666667,2.790651746970001,-3.046533019147376,0.2325543122475001,-1.010558528404524,1.2605930996915586,1.043122754902411,0.6666666666666666,0.4166666666666667
1,stress_2x,120,12,1.3809230748848624,0.22681452583334663,0.4166666666666667,2.721774309...
